Title,Color,Genre,Language,Country,Rating,Lead Actor,DirectorName,LeadActorFBLikes,CastFBLikes,DirectorFBLikes,MovieFBLikes,IMDbScore,TotalReviews,Duration,GrossRevenue,Budget,NetProfit,ReleaseYear,ReleaseMonth
The Watch,Color,Action,English,USA,R,Will Forte,Akiva Schaffer,622,2488,82,15000,5.7,265,102,34350553,68000000,-33649447,2012,8
The Woman in Black,Color,Drama,English,UK,PG-13,Daniel Radcliffe,James Watkins,11000,11946,43,29000,6.4,462,95,54322273,17000000,37322273,2012,1
The Words,Color,Drama,English,USA,PG-13,J.K. Simmons,Brian Klugman,24000,51355,49,21000,7.1,216,102,11434867,6000000,5434867,2012,11
Think Like a Man,Color,Comedy,English,USA,PG-13,Chris Brown,Tim Story,997,5165,167,0,6.6,77,122,91547205,12000000,79547205,2012,7
This Is 40,Color,Comedy,English,USA,R,Charlyne Yi,Judd Apatow,529,1050,0,18000,6.2,285,134,67523385,35000000,32523385,2012,8
This Means War,Color,Action,English,USA,PG-13,Tom Hardy,McG,27000,29808,368,18000,6.3,241,103,54758461,65000000,-10241539,2012,12
Tim and Eric's Billion Dollar Movie,Color,Comedy,English,USA,R,Michael Gross,Tim Heidecker,536,1467,78,0,5.3,82,93,200803,3000000,-2799197,2012,3
To Rome with Love,Color,Comedy,English,USA,R,Ornella Muti,Woody Allen,385,1205,11000,18000,6.3,275,112,16684352,17000000,-315648,2012,11
Underworld: Awakening,Color,Action,English,USA,R,Theo James,Måns Mårlind,5000,5861,24,24000,6.4,242,88,62321039,70000000,-7678961,2012,2
Vamps,Color,Comedy,English,USA,PG-13,Taylor Negron,Amy Heckerling,1000,3086,143,0,5.1,54,92,2964,16000000,-15997036,2012,6
What to Expect When You're Expecting,Color,Comedy,English,USA,PG-13,Anna Kendrick,Kirk Jones,10000,13396,52,14000,5.7,170,110,41102171,40000000,1102171,2012,3
Wrath of the Titans,Color,Action,English,USA,PG-13,Liam Neeson,Jonathan Liebesman,14000,16184,473,19000,5.8,310,99,83640426,150000000,-66359574,2012,11
Wreck-It Ralph,Color,Adventure,English,USA,PG,Jack McBrayer,Rich Moore,975,4451,66,40000,7.8,377,101,189412677,165000000,24412677,2012,9
Zero Dark Thirty,Color,Drama,English,USA,R,Jennifer Ehle,Kathryn Bigelow,1000,2759,0,39000,7.4,558,157,95720716,40000000,55720716,2012,8
12 Years a Slave,Color,Biography,English,USA,R,Quvenzhané Wallis,Steve McQueen,2000,4251,0,83000,8.1,597,134,56667870,20000000,36667870,2013,11
2 Guns,Color,Action,English,USA,R,Denzel Washington,Baltasar Kormákur,18000,20148,175,22000,6.7,265,109,75573300,61000000,14573300,2013,12
20 Feet from Stardom,Color,Documentary,English,USA,PG-13,Sheryl Crow,Morgan Neville,130,198,9,14000,7.4,149,91,4946250,1000000,3946250,2013,1
21 & Over,Color,Comedy,English,USA,R,Justin Chon,Jon Lucas,552,2730,24,11000,5.9,168,93,25675765,13000000,12675765,2013,4
42,Color,Biography,English,USA,PG-13,Harrison Ford,Brian Helgeland,11000,16911,241,28000,7.5,216,128,95001343,40000000,55001343,2013,1
47 Ronin,Color,Action,English,USA,PG-13,Keanu Reeves,Carl Rinsch,18000,20965,47,35000,6.3,218,128,38297305,175000000,-136702695,2013,3
A Good Day to Die Hard,Color,Action,English,USA,R,Bruce Willis,John Moore,13000,15481,212,66000,5.3,412,101,67344392,92000000,-24655608,2013,1
A Haunted House,Color,Comedy,English,USA,R,Essence Atkins,Michael Tiddes,713,3421,89,0,5.1,129,86,40041683,2500000,37541683,2013,4
A Madea Christmas,Color,Comedy,English,USA,PG-13,Alicia Witt,Tyler Perry,975,3202,0,0,4.7,24,100,52528330,25000000,27528330,2013,3
About Time,Color,Drama,English,UK,R,Tom Hughes,Richard Curtis,565,1595,628,105000,7.8,274,123,15294553,12000000,3294553,2013,4
Admission,Color,Comedy,English,USA,PG-13,Tina Fey,Paul Weitz,2000,3004,80,5000,5.7,150,107,18004225,13000000,5004225,2013,7
Adore,Color,Drama,English,Australia,R,Robin Wright,Anne Fontaine,18000,25269,105,0,6.2,141,112,317125,16000000,-15682875,2013,4
After Earth,Color,Action,English,USA,PG-13,Will Smith,M. Night Shyamalan,10000,14168,0,37000,4.9,349,100,60522097,130000000,-69477903,2013,2
All Is Lost,Color,Action,English,USA,PG-13,Robert Redford,J.C. Chandor,0,0,78,18000,6.9,346,106,6262942,9000000,-2737058,2013,7
American Hustle,Color,Crime,English,USA,R,Jennifer Lawrence,David O. Russell,34000,83012,737,63000,7.3,538,138,150117807,40000000,110117807,2013,5
Anchorman 2: The Legend Continues,Color,Comedy,English,USA,PG-13,Harrison Ford,Adam McKay,11000,28176,285,41000,6.3,272,143,2175312,50000000,-47824688,2013,11
Antarctica: A Year on Ice,Color,Adventure,English,New Zealand,PG,Josh Swanson,Anthony Powell,53,86,9,0,7.6,31,91,287761,1000000,-712239,2013,4
August: Osage County,Color,Drama,English,USA,R,Benedict Cumberbatch,John Wells,19000,39690,53,30000,7.3,322,121,37738400,25000000,12738400,2013,5
Bad Grandpa,Color,Comedy,English,USA,R,Jackson Nicoll,Jeff Tremaine,925,1018,79,26000,6.6,157,102,101978840,15000000,86978840,2013,6
Bad Words,Color,Comedy,English,USA,R,Beth Grant,Jason Bateman,628,2061,0,0,6.7,126,89,7764027,10000000,-2235973,2013,1
Baggage Claim,Color,Comedy,English,USA,PG-13,Djimon Hounsou,David E. Talbert,3000,8097,68,0,5.0,52,96,21564616,8500000,13064616,2013,12
Battle of the Year,Color,Drama,English,USA,PG-13,Chris Brown,Benson Lee,997,3177,9,0,5.0,65,110,8888355,20000000,-11111645,2013,1
Beautiful Creatures,Color,Drama,English,USA,PG-13,Alden Ehrenreich,Richard LaGravenese,1000,3580,98,14000,6.2,231,124,19445217,60000000,-40554783,2013,8
Before Midnight,Color,Drama,English,USA,R,Seamus Davey-Fitzpatrick,Richard Linklater,140,328,0,62000,7.9,405,109,8114507,3000000,5114507,2013,9
Begin Again,Color,Drama,English,USA,R,James Corden,John Carney,480,517,109,43000,7.4,283,104,16168741,8000000,8168741,2013,5
Black Nativity,Color,Drama,English,USA,PG,Jennifer Hudson,Kasi Lemmons,549,1373,148,0,4.4,40,93,7017178,17500000,-10482822,2013,1
Blood Ties,Color,Crime,English,France,R,Mila Kunis,Guillaume Canet,15000,18442,0,0,6.5,91,144,41229,25500000,-25458771,2013,1
Blue Jasmine,Color,Drama,English,USA,PG-13,Sally Hawkins,Woody Allen,594,1353,11000,36000,7.3,415,98,33404871,18000000,15404871,2013,8
Blue Ruin,Color,Crime,English,USA,R,Devin Ratray,Jeremy Saulnier,1000,1528,57,0,7.1,279,90,258113,1066167,-808054,2013,6
Broken City,Color,Crime,English,USA,R,Alona Tal,Allen Hughes,1000,2073,90,0,6.2,298,109,19692608,35000000,-15307392,2013,5
"Buen Día, Ramón",Color,Drama,German,Mexico,PG-13,Hector Kotsifakis,Jorge Ramírez Suárez,623,824,45,0,7.7,26,120,100412,4000000,-3899588,2013,6
Captain Phillips,Color,Biography,English,USA,PG-13,Tom Hanks,Paul Greengrass,15000,16281,521,65000,7.9,491,134,107100855,55000000,52100855,2013,4
Carrie,Color,Drama,English,USA,R,Chloë Grace Moretz,Kimberly Peirce,17000,20051,108,39000,5.9,359,100,35266619,30000000,5266619,2013,9
Cheap Thrills,Color,Comedy,English,USA,Not Rated,Brighton Sharbino,E.L. Katz,3000,4729,3,0,6.8,193,88,59379,200000,-140621,2013,12
"Cinco de Mayo, La Batalla",Color,Drama,Spanish,Mexico,R,Jorge Luis Moreno,Rafa Lara,78,221,21,874,6.2,12,125,169379,10000000,-9830621,2013,3
Cloudy with a Chance of Meatballs 2,Color,Animation,English,USA,PG,Will Forte,Cody Cameron,622,848,18,15000,6.5,169,95,119793567,78000000,41793567,2013,11
Dallas Buyers Club,Color,Biography,English,USA,R,Matthew McConaughey,Jean-Marc Vallée,11000,17738,212,65000,8.0,471,117,27296514,5000000,22296514,2013,3
Dead Man Down,Color,Action,English,USA,R,Dominic Cooper,Niels Arden Oplev,3000,4253,76,0,6.5,217,118,10880926,30000000,-19119074,2013,8
Delivery Man,Color,Comedy,English,USA,PG-13,Jack Reynor,Ken Scott,390,1006,31,0,6.4,168,105,30659817,26000000,4659817,2013,4
Despicable Me 2,Color,Animation,English,USA,PG,Steve Carell,Pierre Coffin,7000,11905,275,56000,7.5,306,98,368049635,76000000,292049635,2013,6
Don Jon,Color,Comedy,English,USA,R,Joseph Gordon-Levitt,Joseph Gordon-Levitt,23000,44265,23000,33000,6.6,364,90,24475193,3000000,21475193,2013,10
Elysium,Color,Action,English,USA,R,Matt Damon,Neill Blomkamp,13000,17689,662,61000,6.6,476,109,93050117,115000000,-21949883,2013,7
Ender's Game,Color,Action,English,USA,PG-13,Harrison Ford,Gavin Hood,11000,12908,151,123000,6.7,326,114,61656849,110000000,-48343151,2013,9
Enough Said,Color,Comedy,English,USA,PG-13,Christopher Nicholas Smith,Nicole Holofcener,434,1183,132,12000,7.1,231,93,17536788,8000000,9536788,2013,3
Epic,Color,Adventure,English,USA,PG,Josh Hutcherson,Chris Wedge,14000,14552,77,17000,6.7,203,102,107515297,100000000,7515297,2013,3
Escape from Planet Earth,Color,Adventure,English,USA,PG,Brendan Fraser,Cal Brunker,3000,3361,7,0,5.9,83,89,57011847,40000000,17011847,2013,11
Escape Plan,Color,Action,English,USA,R,Sylvester Stallone,Mikael Håfström,13000,15708,101,34000,6.7,286,115,25121291,50000000,-24878709,2013,4
Evil Dead,Color,Horror,English,USA,R,Lou Taylor Pucci,Fede Alvarez,394,673,201,70000,6.5,543,96,54239856,17000000,37239856,2013,10
Free Birds,Color,Adventure,English,USA,PG,Amy Poehler,Jimmy Hayward,1000,3104,39,0,5.9,118,91,55747724,55000000,747724,2013,12
Frozen,Color,Adventure,English,USA,PG,Josh Gad,Chris Buck,1000,2582,69,58000,7.6,406,102,400736600,150000000,250736600,2013,3
Fruitvale Station,Color,Biography,English,USA,R,Ahna O'Reilly,Ryan Coogler,282,687,0,17000,7.5,327,85,16097842,900000,15197842,2013,5
G.I. Joe: Retaliation,Color,Action,English,USA,PG-13,Channing Tatum,Jon M. Chu,17000,31958,209,42000,5.8,351,122,122512052,130000000,-7487948,2013,11
Gangster Squad,Color,Action,English,USA,R,Ryan Gosling,Ruben Fleischer,33000,34738,181,40000,6.7,415,113,45996718,60000000,-14003282,2013,6
Getaway,Color,Action,English,USA,PG-13,Rebecca Budig,Courtney Solomon,210,676,31,4000,4.4,146,90,10494494,18000000,-7505506,2013,3
Gravity,Color,Adventure,English,UK,PG-13,Phaldut Sharma,Alfonso Cuarón,39,87,0,147000,7.8,738,91,274084951,100000000,174084951,2013,4
Grown Ups 2,Color,Comedy,English,USA,PG-13,Steve Buscemi,Dennis Dugan,12000,39269,221,14000,5.4,139,101,133668525,80000000,53668525,2013,5
Grudge Match,Color,Comedy,English,USA,PG-13,Robert De Niro,Peter Segal,22000,36009,88,12000,6.4,211,113,29802761,40000000,-10197239,2013,1
Hansel & Gretel: Witch Hunters,Color,Action,English,Germany,R,Jeremy Renner,Tommy Wirkola,10000,11946,75,45000,6.1,349,98,55682070,50000000,5682070,2013,8
Her,Color,Drama,English,USA,R,Scarlett Johansson,Spike Jonze,19000,19359,0,148000,8.0,574,126,25556065,23000000,2556065,2013,3
Home Run,Color,Drama,English,USA,PG-13,Vivica A. Fox,David Boyd,890,2681,29,0,6.0,10,113,2859955,1200000,1659955,2013,9
Homefront,Color,Action,English,USA,R,Jason Statham,Gary Fleder,26000,39989,39,15000,6.5,203,100,19783777,22000000,-2216223,2013,10
Identity Thief,Color,Comedy,English,USA,R,Jon Favreau,Seth Gordon,4000,5826,91,17000,5.7,275,120,134455175,35000000,99455175,2013,3
Inside Llewyn Davis,Color,Drama,English,USA,R,Justin Timberlake,Ethan Coen,3000,4082,1000,26000,7.4,535,104,13214255,11000000,2214255,2013,2
Insidious: Chapter 2,Color,Fantasy,English,USA,PG-13,Lin Shaye,James Wan,852,2975,0,35000,6.6,318,106,83574831,5000000,78574831,2013,7
Instructions Not Included,Color,Comedy,Spanish,Mexico,PG-13,Eugenio Derbez,Eugenio Derbez,399,688,399,14000,7.6,41,115,44456509,5000000,39456509,2013,3
Iron Man 3,Color,Action,English,USA,PG-13,Robert Downey Jr.,Shane Black,21000,30426,1000,95000,7.2,608,195,408992272,200000000,208992272,2013,4
Jack the Giant Slayer,Color,Adventure,English,USA,PG-13,Eddie Marsan,Bryan Singer,979,1766,0,22000,6.3,338,114,65171860,195000000,-129828140,2013,9
Joe,Color,Drama,English,USA,R,Nicolas Cage,David Gordon Green,12000,13607,234,11000,6.9,232,117,371897,4000000,-3628103,2013,5
Kevin Hart: Let Me Explain,Color,Comedy,English,USA,R,David Jason Perez,Leslie Small,1000,1385,15,0,6.7,26,75,32230907,2500000,29730907,2013,4
Kick-Ass 2,Color,Action,English,USA,R,Chloë Grace Moretz,Jeff Wadlow,17000,19168,65,36000,6.6,350,103,28751715,28000000,751715,2013,7
Labor Day,Color,Drama,English,USA,PG-13,J.K. Simmons,Jason Reitman,24000,39307,655,0,6.9,217,111,13362308,18000000,-4637692,2013,5
Last Vegas,Color,Comedy,English,USA,PG-13,Robert De Niro,Jon Turteltaub,22000,35694,226,27000,6.6,222,105,63910583,28000000,35910583,2013,5
Lee Daniels' The Butler,Color,Biography,English,USA,PG-13,Alex Pettyfer,Lee Daniels,15000,20035,304,41000,7.2,304,132,116631310,30000000,86631310,2013,3
Legends of Oz: Dorothy's Return,Color,Adventure,English,USA,PG,Lea Michele,Will Finn,2000,6946,6,5000,5.6,51,88,8460990,70000000,-61539010,2013,8
Lone Survivor,Color,Action,English,USA,R,Jerry Ferrara,Peter Berg,480,1261,532,58000,7.6,319,121,125069696,40000000,85069696,2013,5
Machete Kills,Color,Action,English,Russia,R,Alexa PenaVega,Robert Rodriguez,2000,2848,0,48000,5.6,260,107,7268659,20000000,-12731341,2013,7
Mama,Color,Fantasy,English,Canada,PG-13,Javier Botet,Andrés Muschietti,1000,1949,127,57000,6.2,393,100,71588220,20000000,51588220,2013,11
Man of Steel,Color,Action,English,USA,PG-13,Henry Cavill,Zack Snyder,15000,20495,0,118000,7.2,733,143,291021565,225000000,66021565,2013,1
Mandela: Long Walk to Freedom,Color,Biography,English,UK,PG-13,Terry Pheto,Justin Chadwick,113,301,56,13000,7.1,211,141,8324748,35000000,-26675252,2013,9
Monsters University,Color,Adventure,English,USA,G,Steve Buscemi,Dan Scanlon,12000,14863,37,44000,7.3,376,104,268488329,200000000,68488329,2013,6
Movie 43,Color,Comedy,English,USA,R,Hugh Jackman,Elizabeth Banks,20000,41059,0,25000,4.3,180,94,8828771,6000000,2828771,2013,2
Nebraska,Black and White,Adventure,English,USA,R,Devin Ratray,Alexander Payne,1000,3798,729,28000,7.8,433,115,17613460,12000000,5613460,2013,3
Now You See Me,Color,Crime,English,USA,PG-13,Morgan Freeman,Louis Leterrier,11000,13312,255,105000,7.3,384,125,117698894,75000000,42698894,2013,4
Oblivion,Color,Action,English,USA,PG-13,Morgan Freeman,Joseph Kosinski,11000,22004,364,71000,7.0,539,124,89021735,120000000,-30978265,2013,10
Oculus,Color,Horror,English,USA,R,James Lafferty,Mike Flanagan,972,2071,59,23000,6.5,336,104,27689474,5000000,22689474,2013,10
Of Horses and Men,Color,Comedy,Icelandic,Iceland,Not Rated,Ingvar Eggert Sigurðsson,Benedikt Erlingsson,63,81,4,1000,6.9,66,81,11835,10000000,-9988165,2013,6
Olympus Has Fallen,Color,Action,English,USA,R,Gerard Butler,Antoine Fuqua,18000,31782,845,45000,6.5,358,119,98895417,70000000,28895417,2013,6
One Direction: This Is Us,Color,Documentary,English,USA,PG,Harry Styles,Morgan Spurlock,773,2787,293,0,4.1,83,106,28873374,10000000,18873374,2013,8
Only God Forgives,Color,Crime,English,Denmark,R,Ryan Gosling,Nicolas Winding Refn,33000,34779,0,30000,5.7,440,90,778565,4800000,-4021435,2013,12
Out of the Furnace,Color,Crime,English,USA,R,Christian Bale,Scott Cooper,23000,24134,108,17000,6.8,288,116,11326836,22000000,-10673164,2013,9
Oz the Great and Powerful,Color,Adventure,English,USA,PG,Tim Holmes,Sam Raimi,44000,73441,0,60000,6.4,525,130,234903076,215000000,19903076,2013,4
Pacific Rim,Color,Action,English,USA,PG-13,Charlie Hunnam,Guillermo del Toro,16000,19166,0,83000,7.0,575,131,101785482,190000000,-88214518,2013,9
Pain & Gain,Color,Comedy,English,USA,R,Dwayne Johnson,Michael Bay,12000,13573,0,43000,6.5,335,129,49874933,26000000,23874933,2013,5
Parker,Color,Action,English,USA,R,Jason Statham,Taylor Hackford,26000,28479,138,17000,6.2,224,118,17609982,35000000,-17390018,2013,3
Peeples,Color,Comedy,English,USA,PG-13,Tyler James Williams,Tina Gordon Chism,931,3322,24,0,5.3,43,95,9123834,15000000,-5876166,2013,2
Percy Jackson: Sea of Monsters,Color,Adventure,English,USA,PG,Logan Lerman,Thor Freudenthal,8000,10882,87,28000,5.9,183,106,68558662,90000000,-21441338,2013,10
Philomena,Color,Biography,English,UK,PG-13,Steve Coogan,Stephen Frears,1000,2376,350,37000,7.6,354,98,37707719,12000000,25707719,2013,10
Prisoners,Color,Crime,English,USA,R,Hugh Jackman,Denis Villeneuve,20000,37321,777,86000,8.1,454,153,60962878,46000000,14962878,2013,7
R.I.P.D.,Color,Action,English,USA,PG-13,Ryan Reynolds,Robert Schwentke,16000,31549,124,20000,5.6,208,96,33592415,130000000,-96407585,2013,3
R100,Color,Comedy,Japanese,Japan,Unrated,Lindsay Kay Hayward,Hitoshi Matsumoto,31,81,17,543,6.1,72,99,22770,5500000,-5477230,2013,12
RED 2,Color,Action,English,USA,PG-13,Bruce Willis,Dean Parisot,13000,25220,23,22000,6.7,234,116,53215979,84000000,-30784021,2013,1
Riddick,Color,Action,English,USA,R,Vin Diesel,David Twohy,14000,17551,123,39000,6.4,302,127,41997790,38000000,3997790,2013,5
Runner Runner,Color,Crime,English,USA,R,Justin Timberlake,Brad Furman,3000,5706,65,0,5.6,184,88,19316646,30000000,-10683354,2013,2
Rush,Color,Action,English,UK,R,Chris Hemsworth,Ron Howard,26000,37206,2000,83000,8.1,393,123,26903709,38000000,-11096291,2013,9
Safe Haven,Color,Drama,English,USA,PG-13,David Lyons,Lasse Hallström,576,1554,529,23000,6.7,184,115,71346930,28000000,43346930,2013,6
Saving Mr. Banks,Color,Biography,English,USA,PG-13,Tom Hanks,John Lee Hancock,15000,19809,102,39000,7.5,405,125,83299761,35000000,48299761,2013,12
Scary Movie 5,Color,Comedy,English,USA,PG-13,Marisa Saks,Malcolm D. Lee,31000,34319,92,13000,3.5,153,88,32014289,20000000,12014289,2013,12
Side Effects,Color,Crime,English,USA,R,Channing Tatum,Steven Soderbergh,17000,18469,0,29000,7.1,450,106,32154410,30000000,2154410,2013,4
Snitch,Color,Action,English,USA,PG-13,Dwayne Johnson,Ric Roman Waugh,12000,15800,29,12000,6.5,238,112,42919096,15000000,27919096,2013,10
Snowpiercer,Color,Action,English,South Korea,R,Chris Evans,Joon-ho Bong,11000,12286,584,58000,7.0,488,126,4563029,39200000,-34636971,2013,11
Star Trek Into Darkness,Color,Action,English,USA,PG-13,Benedict Cumberbatch,J.J. Abrams,19000,21411,14000,92000,7.8,590,132,228756232,190000000,38756232,2013,1
Stoker,Color,Drama,English,UK,R,Mia Wasikowska,Chan-wook Park,3000,5074,0,27000,6.8,469,99,1702277,12000000,-10297723,2013,4
Texas Chainsaw 3D,Color,Horror,English,USA,R,Gunnar Hansen,John Luessenhop,383,1945,34,16000,4.8,282,92,34334256,11000000,23334256,2013,10
The Adventurer: The Curse of the Midas Box,Color,Adventure,English,UK,PG,Ioan Gruffudd,Jonathan Newman,2000,2450,3,0,5.4,28,100,4756,25000000,-24995244,2013,3
The Amazing Catfish,Color,Comedy,Spanish,Mexico,Not Rated,Ximena Ayala,Claudia Sainte-Luce,31,58,0,407,7.0,50,89,11278,1300000,-1288722,2013,11
The Best Man Holiday,Color,Comedy,English,USA,R,Harold Perrineau,Malcolm D. Lee,1000,5306,92,7000,6.7,56,123,70492685,17000000,53492685,2013,11
The Best Offer,Color,Crime,English,Italy,R,Jim Sturgess,Giuseppe Tornatore,5000,5954,911,31000,7.8,124,131,85433,13500000,-13414567,2013,11
The Big Wedding,Color,Comedy,English,USA,R,Robin Williams,Justin Zackham,49000,74181,16,0,5.6,133,89,21784432,35000000,-13215568,2013,9
The Book Thief,Color,Drama,English,USA,PG-13,Emily Watson,Brian Percival,876,1985,33,53000,7.6,252,131,21483154,19000000,2483154,2013,5
The Call,Color,Crime,English,USA,R,Michael Imperioli,Brad Anderson,873,2812,122,23000,6.7,285,94,51872378,13000000,38872378,2013,5
The Canyons,Color,Drama,English,USA,R,Nolan Gerard Funk,Paul Schrader,924,2862,261,0,3.9,162,99,49494,250000,-200506,2013,11
The Conjuring,Color,Horror,English,USA,R,Mackenzie Foy,James Wan,6000,9049,0,131000,7.5,511,112,137387272,20000000,117387272,2013,10
The Counselor,Color,Crime,English,USA,R,Michael Fassbender,Ridley Scott,13000,27797,0,24000,5.3,336,138,16969390,25000000,-8030610,2013,4
The Croods,Color,Adventure,English,USA,PG,Ryan Reynolds,Kirk De Micco,16000,43286,16,28000,7.3,257,98,187165546,135000000,52165546,2013,6
The East,Color,Drama,English,UK,PG-13,Alexander Skarsgård,Zal Batmanglij,10000,13180,129,12000,6.9,200,116,2268296,6500000,-4231704,2013,8
The Fifth Estate,Color,Biography,English,USA,R,Benedict Cumberbatch,Bill Condon,19000,36337,386,11000,6.2,224,128,3254172,28000000,-24745828,2013,3
The Grandmaster,Color,Action,Mandarin,Hong Kong,PG-13,Tony Chiu Wai Leung,Kar-Wai Wong,643,943,0,13000,6.5,273,122,6594136,38600000,-32005864,2013,6
The Great Beauty,Color,Drama,Italian,Italy,Not Rated,Toni Servillo,Paolo Sorrentino,211,456,667,29000,7.7,280,172,2835886,9200000,-6364114,2013,1
The Great Gatsby,Color,Drama,English,Australia,PG-13,Leonardo DiCaprio,Baz Luhrmann,29000,29770,1000,115000,7.3,490,143,144812796,105000000,39812796,2013,5
The Green Inferno,Color,Adventure,English,USA,R,Daryl Sabara,Eli Roth,640,2082,0,12000,5.4,285,100,7186670,6000000,1186670,2013,1
The Heat,Color,Action,English,USA,R,Michael Rapaport,Paul Feig,975,4825,176,24000,6.6,270,123,159578352,43000000,116578352,2013,6
The Hobbit: The Desolation of Smaug,Color,Adventure,English,USA,PG-13,Aidan Turner,Peter Jackson,5000,9152,0,83000,7.9,509,186,258355354,225000000,33355354,2013,1
The Hunger Games: Catching Fire,Color,Adventure,English,USA,PG-13,Jennifer Lawrence,Francis Lawrence,34000,49355,508,82000,7.6,502,146,424645577,130000000,294645577,2013,3
The Immigrant,Color,Drama,English,USA,R,Jeremy Renner,James Gray,10000,11019,115,0,6.6,230,120,1984743,16000000,-14015257,2013,5
The Incredible Burt Wonderstone,Color,Comedy,English,USA,PG-13,Steve Buscemi,Don Scardino,12000,32094,35,13000,5.9,260,100,22525921,30000000,-7474079,2013,9
The Internship,Color,Comedy,English,USA,PG-13,Josh Gad,Shawn Levy,1000,5081,189,22000,6.3,246,125,44665963,58000000,-13334037,2013,4
The Knife of Don Juan,Color,Comedy,Spanish,USA,Not Rated,Nataniel Sánchez,Tom Sanchez,3,5,0,75,7.2,1,110,3830,1200000,-1196170,2013,4
The Last Days on Mars,Color,Horror,English,UK,R,Romola Garai,Ruairi Robinson,805,2271,7,0,5.5,120,98,23838,7000000,-6976162,2013,5
The Last Exorcism Part II,Color,Drama,English,France,PG-13,Muse Watson,Ed Gass-Donnelly,45000,46868,8,0,4.0,161,93,15152879,5000000,10152879,2013,11
The Last Stand,Color,Action,English,USA,R,Zach Gilford,Jee-woon Kim,971,1643,419,24000,6.4,376,107,12026670,45000000,-32973330,2013,6
The Lone Ranger,Color,Action,English,USA,PG-13,Johnny Depp,Gore Verbinski,40000,45757,563,48000,6.5,450,150,89289910,215000000,-125710090,2013,12
The Lunchbox,Color,Drama,Hindi,India,PG,Nawazuddin Siddiqui,Ritesh Batra,638,822,25,16000,7.8,195,104,4231500,1000000,3231500,2013,6
The Mortal Instruments: City of Bones,Color,Fantasy,English,USA,PG-13,Aidan Turner,Harald Zwart,5000,10247,91,44000,6.0,212,130,31165421,60000000,-28834579,2013,4
The Purge,Color,Horror,English,USA,R,Rhys Wakefield,James DeMonaco,942,3708,65,31000,5.7,361,85,64423650,3000000,61423650,2013,12
The Railway Man,Color,Biography,English,Australia,R,Jeremy Irvine,Jonathan Teplitzky,25000,39463,6,18000,7.1,186,116,4435083,18000000,-13564917,2013,3
The Secret Life of Walter Mitty,Color,Adventure,English,USA,PG,Adam Scott,Ben Stiller,3000,5095,0,70000,7.3,362,114,58229120,90000000,-31770880,2013,12
The Smurfs 2,Color,Adventure,English,USA,PG,Jacob Tremblay,Raja Gosnell,681,914,67,0,5.4,125,105,71017784,105000000,-33982216,2013,6
The Spectacular Now,Color,Comedy,English,USA,R,Shailene Woodley,James Ponsoldt,8000,10040,53,10000,7.1,220,95,6851969,2500000,4351969,2013,9
The To Do List,Color,Comedy,English,USA,R,Donald Glover,Maggie Carey,801,2667,38,0,5.8,97,104,3447339,1500000,1947339,2013,5
The Way Way Back,Color,Comedy,English,USA,PG-13,Steve Carell,Nat Faxon,7000,8375,214,22000,7.4,276,103,21501098,5000000,16501098,2013,5
The Wolf of Wall Street,Color,Biography,English,USA,R,Leonardo DiCaprio,Martin Scorsese,29000,46057,17000,138000,8.2,606,240,116866727,100000000,16866727,2013,3
The Wolverine,Color,Action,English,USA,PG-13,Hugh Jackman,James Mangold,20000,23755,446,68000,6.7,440,138,132550960,120000000,12550960,2013,1
The World's End,Color,Action,English,UK,R,Michael Smiley,Edgar Wright,177,278,1000,49000,7.0,427,109,26003149,20000000,6003149,2013,3
The Young and Prodigious T.S. Spivet,Color,Action,English,France,PG,Callum Rennie,Jean-Pierre Jeunet,716,1843,0,5000,7.1,122,105,99462,33000000,-32900538,2013,7
This Is the End,Color,Comedy,English,USA,R,Channing Tatum,Evan Goldberg,17000,38751,133,97000,6.7,418,107,101470202,32000000,69470202,2013,8
Thor: The Dark World,Color,Action,English,USA,PG-13,Chris Hemsworth,Alan Taylor,26000,59803,230,63000,7.1,486,112,206360018,170000000,36360018,2013,10
Thunder and the House of Magic,Color,Adventure,English,Belgium,Not Rated,Kyle Hebert,Jeremy Degruson,324,369,0,0,6.3,60,85,4091,34000000,-33995909,2013,6
Trance,Color,Crime,English,UK,R,Rosario Dawson,Danny Boyle,3000,5056,0,23000,7.0,393,101,2319187,20000000,-17680813,2013,8
Turbo,Color,Adventure,English,USA,PG,Ryan Reynolds,David Soren,16000,17416,13,13000,6.5,166,96,83024900,135000000,-51975100,2013,6
Walking with Dinosaurs 3D,Color,Adventure,English,USA,PG,Charlie Rowe,Barry Cook,882,1971,43,0,5.2,113,87,36073232,80000000,-43926768,2013,11
Warm Bodies,Color,Comedy,English,USA,PG-13,Cory Hardrict,Jonathan Levine,303,337,129,81000,6.9,452,98,66359959,35000000,31359959,2013,12
We're the Millers,Color,Comedy,English,USA,R,Laura-Leigh,Rawson Marshall Thurber,740,3425,43,35000,7.0,289,118,150368971,37000000,113368971,2013,8
White House Down,Color,Action,English,USA,PG-13,Channing Tatum,Roland Emmerich,17000,18204,776,33000,6.4,339,131,73103784,150000000,-76896216,2013,3
World War Z,Color,Action,English,USA,PG-13,Peter Capaldi,Marc Forster,17000,32392,395,129000,7.0,654,123,202351611,190000000,12351611,2013,11
